School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
International Academy,Bloomfield Twp,Michigan,Oakland,Detroit,42.6046236,-83.223386,298,169,0.57,118,0.70,1527,1332,29.7,0,Yes,1257584,76387,0.11,0.48,0.03,0.02,0.43,0.00,0.00,0.03,Public Magnet,"Population and Income for Oakland County, MI",1.00
Bronx High School Of Science,Bronx,New York,Bronx,New York,40.8783886,-73.890955,291,150,0.52,56,0.37,3020,1430,33,20,No,8336817,60762,0.43,0.22,0.03,0.07,0.64,0.01,0.01,0.02,Public Magnet,Population and Income for New York City,1.00
Northville High School,Northville,Michigan,Oakland,Detroit,42.411892,-83.495382,241,133,0.55,101,0.76,2500,1206,,21,Yes,5958,111169,0.06,0.71,0.03,0.03,0.21,0.00,0.00,0.02,Public,,1.00
Novi High School,Novi,Michigan,Oakland,Detroit,42.462694,-83.491143,219,108,0.49,85,0.79,2070,1206,,22,Yes,60896,92410,0.09,0.46,0.09,0.04,0.40,0.00,0.00,0.02,Public,,1.00
Adlai E Stevenson High School,Lincolnshire,Illinois,Lake,Chicago,42.2016572,-87.945427,214,45,0.21,16,0.36,4261,1260,28.6,31,No,7893,114826,0.05,0.55,0.02,0.08,0.32,0.00,0.00,0.03,Public,,1.00
Stuyvesant High School,New York,New York,New York,New York,40.7179876,-74.013842,212,80,0.38,31,0.39,3319,1470,32,31,No,8336817,60762,0.43,0.19,0.01,0.03,0.73,0.00,0.01,0.04,Public Magnet,,1.00
Troy High School,Troy,Michigan,Oakland,Detroit,42.5878816,-83.179947,205,103,0.50,82,0.80,2050,1232,,29,No,84092,97048,0.13,0.48,0.04,0.04,0.41,0.00,0.00,0.04,Public,,1.00
Pioneer High School,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.2609985,-83.753659,204,98,0.48,78,0.80,1956,1161,,21,No,119980,63956,0.21,0.53,0.15,0.08,0.14,0.00,0.00,0.10,Public,,1.00
New Trier High School,Winnetka,Illinois,Cook,Chicago,42.0950608,-87.718018,200,38,0.19,16,0.42,3978,1240,27.8,30,No,12316,220577,0.04,0.80,0.01,0.05,0.09,0.00,0.00,0.05,Public,,1.00
Cranbrook Kingswood School,Bloomfield Twp,Michigan,Oakland,Detroit,42.555408,-83.220383,178,80,0.45,45,0.56,1581,1370,,15,No,,,,0.64,0.06,0.02,0.16,0.00,0.00,0.12,Private Boarding,Enrollment and Race Numbers are for all Grades,1.00
Huron High School,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.2809899,-83.703276,176,93,0.53,67,0.72,1720,1137,,25,Yes,119980,63956,0.28,0.39,0.19,0.09,0.21,0.00,0.00,0.10,Public,,1.00
Bloomfield Hills High School,Bloomfield Twp,Michigan,Oakland,Detroit,42.578367,-83.286045,169,75,0.44,61,0.81,1777,1110,25.6,18,Yes,4009,174750,0.12,0.74,0.09,0.03,0.09,0.00,0.00,0.05,Public,,1.00
Rochester Adams High School,Rochester Hills,Michigan,Oakland,Detroit,42.6962892,-83.198216,161,78,0.48,62,0.79,1586,1236,,23,No,74516,90961,0.04,0.72,0.04,0.04,0.15,0.00,0.00,0.04,Public,,1.00
Saline High School,Saline,Michigan,Washtenaw,Ann Arbor,42.1886415,-83.749415,149,53,0.36,40,0.75,1774,1149,27.1,19,No,9343,78117,0.09,0.87,0.02,0.02,0.05,0.01,0.00,0.03,Public,,1.00
